# BEAST v1.10.0 Prerelease #VEME2017
# Generated Tue Jul 10 14:27:40 UTC 2018 [seed=666]
# -beagle_scaling always -overwrite -threads 2 -beagle_SSE -beagle_instances 2 -seed 666 -errors 1000 P01S2_RC_Const.xml
# keywords: discretized_branch_rates
state	posterior	prior	likelihood	treeModel.rootHeight	age(root)	constant.popSize	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-12470.199026014987	-1048.5314871678206	-11421.667538847167	13.012374690991464	-1.0123746909914644	1.0	2.0	0.5	1.0	0.3333333333333333	1.0228630960857947	0.3485108131242069	-0.0491381985882242	-11421.667538847167	-922.3574719519911	-99.31654407782749
10000	-7240.6380749402815	-1105.0053699822772	-6135.632704958004	12.939410911102993	-0.9394109111029927	2.556547926511602	3.836139034239401	0.12161488973017569	0.20397624332997083	0.558010602539197	0.08543233009189095	2.179134567315441	0.10827229659933142	-6135.632704958004	-922.3574719519911	-173.4980287574455
20000	-6734.044650288527	-1104.6666741116321	-5629.377976176895	17.23869752334869	-5.238697523348691	2.299963524112119	3.839230396146655	0.10792654364961717	0.15278062513488316	0.4654364371608906	0.04709987013143607	2.296713666951866	0.03303303390259706	-5629.377976176895	-922.3574719519911	-173.83373283893528
30000	-6477.266846360748	-1105.0630994367682	-5372.203746923979	14.492352728056265	-2.4923527280562645	2.6414595134220455	3.682055994456283	0.11522863286897429	0.08985878957333561	0.1921062225945798	0.05018607563633552	1.7504118853566926	0.04838386903494936	-5372.203746923979	-922.3574719519911	-179.0650386991958
40000	-5950.955857756291	-1107.6389787326318	-4843.31687902366	13.889026538390238	-1.8890265383902385	2.8461628480023853	4.196260338542508	0.11490119121546204	0.0391636339613506	0.06944924771771681	0.021101217457255534	1.2383478013157674	0.04668589591209318	-4843.31687902366	-922.3574719519911	-184.2344546459287
50000	-5954.7661804436575	-1119.4022946480513	-4835.363885795607	13.879217433943976	-1.8792174339439764	3.306007761240975	4.447766582706454	0.12995914729817143	0.03225393946368341	0.034750674171021685	0.02016039802233193	0.8612687387024514	0.0374251298999525	-4835.363885795607	-922.3574719519911	-196.1764832981724
60000	-5958.0386914579185	-1125.4320909534806	-4832.606600504438	14.365705733344091	-2.3657057333440914	3.787398510576403	3.4970900660502333	0.13272635829072998	0.02897985413336691	0.037751429604943564	0.01624681421423677	0.9784587453494398	-0.006532891414379319	-4832.606600504438	-922.3574719519911	-202.44705170973808
70000	-5942.344401729655	-1130.0420489726796	-4812.302352756976	14.522612110733625	-2.5226121107336255	3.990091533385944	3.660100092590017	0.12968525790911395	0.030484495882280263	0.04469369861902222	0.01577267388776891	1.2482390771650986	0.04378939128024782	-4812.302352756976	-922.3574719519911	-206.74719745363302
80000	-5833.778955647462	-1143.3431024280949	-4690.435853219366	15.734165002175626	-3.734165002175626	4.8271016423395725	4.243046397094494	0.12209841189846464	0.023711850510960922	0.038884847890571846	0.010864962289991616	1.1090853236414955	0.11799654315090541	-4690.435853219366	-922.3574719519911	-219.98400532606618
90000	-5833.575941146716	-1146.1127053336743	-4687.463235813042	15.772598779252421	-3.772598779252421	4.186777034373852	4.264930688167482	0.14226121780520284	0.030218033913181813	0.06802060671711886	0.011651381947309825	1.3274127767936734	-0.06037107883342302	-4687.463235813042	-922.3574719519911	-222.15714656307932
