# BEAST v1.10.0 Prerelease #VEME2017
# Generated Mon Jul 09 20:41:09 UTC 2018 [seed=666]
# -beagle_scaling always -overwrite -threads 4 -beagle_SSE -beagle_instances 2 -seed 666 -errors 1000 P01S2_RC_Const.Rep4.xml
# keywords: discretized_branch_rates
state	posterior	prior	likelihood	treeModel.rootHeight	age(root)	constant.popSize	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-12402.906146260731	-1048.5314871678206	-11354.374659092911	13.012374690991464	-1.0123746909914644	1.0	2.0	0.5	1.0	0.3333333333333333	1.0228630960857947	0.3485108131242069	-0.0491381985882242	-11354.374659092911	-922.3574719519911	-99.31654407782749
10000	-7615.909616678951	-1107.8816554964637	-6508.027961182487	12.95880561118064	-0.9588056111806402	2.599301199665951	3.8412094629975297	0.11239229776312867	0.41464102815913484	1.5121416430471453	0.10860057253276446	2.1732518462201407	-0.01664165222893066	-6508.027961182487	-922.3574719519911	-166.9052239478644
20000	-7197.364855676785	-1121.9535661793777	-6075.411289497407	14.4792169692219	-2.4792169692219	2.7850108218341396	3.464318219799959	0.1280473986933006	0.24699317547995459	0.9261553353164795	0.062357240355930446	2.9287695166723586	0.09844812942538995	-6075.411289497407	-922.3574719519911	-187.22516471477803
30000	-6754.9971635101365	-1104.169007126998	-5650.828156383139	14.063219078741588	-2.0632190787415876	2.4970325731158143	3.535399784980271	0.10900161787569836	0.13404184234733163	0.2878331712011707	0.05134881045863912	1.857781550728886	-0.01678914642733056	-5650.828156383139	-922.3574719519911	-176.50615827949017
40000	-6559.165265397778	-1105.1656560548408	-5453.999609342937	14.285127982404228	-2.2851279824042283	2.913318735229204	3.963345378144646	0.12421160846055972	0.10591067462102069	0.25592284658280096	0.03957542494323679	1.5666921247042158	0.0014509493308368384	-5453.999609342937	-922.3574719519911	-178.23820433553104
50000	-6513.896264577334	-1100.5923165799763	-5413.303947997358	14.001613918066711	-2.0016139180667114	2.5390922726960667	3.9285701356108413	0.1183205294629241	0.08893190069397976	0.21685424783987978	0.03538453281017955	1.832065039595912	0.10012949939339033	-5413.303947997358	-922.3574719519911	-174.6426744903127
60000	-6406.8798866828	-1102.2911105648127	-5304.588776117987	14.124927062800529	-2.124927062800529	2.5362873613184482	3.515951754621519	0.13266207748180864	0.09087372656095062	0.19493336590039725	0.0388542844454089	1.7133936766206128	0.06705207221351832	-5304.588776117987	-922.3574719519911	-176.50257290324052
70000	-6389.515269561996	-1099.150532993286	-5290.36473656871	14.800139537473836	-2.800139537473836	2.665066167262861	3.6897612897012184	0.10787981591947818	0.07966072147582991	0.16444696635280004	0.032420010533141114	1.6381745977936195	0.06426376308221582	-5290.36473656871	-922.3574719519911	-173.8601080727858
80000	-6406.1514146687405	-1095.9282896510067	-5310.223125017734	15.445622857725896	-3.445622857725896	2.573420582648661	3.8714275383713286	0.11465534603588903	0.07162633302485177	0.12401444733105535	0.031246894444048514	1.16691993994528	0.08497295431573504	-5310.223125017734	-922.3574719519911	-171.11250110129933
90000	-6378.162195708386	-1100.2964067952844	-5277.865788913102	15.50563566801299	-3.5056356680129905	2.069565609637575	3.7647032266348956	0.12998885440044725	0.06497585951224115	0.11874207782979192	0.03203230352949673	1.1954871296006206	-0.013745984836714877	-5277.865788913102	-922.3574719519911	-175.9359955819738
100000	-6222.75928287235	-1113.1986643472076	-5109.560618525143	14.997089274964129	-2.9970892749641287	3.108865823834828	4.01331350134534	0.1242001286616056	0.0414090420946613	0.06741417231057532	0.02353087077105038	1.1589505986852109	0.18989623718174037	-5109.560618525143	-922.3574719519911	-189.53420489286782
110000	-6240.548476376754	-1116.4425224783	-5124.105953898454	15.820993971255675	-3.8209939712556746	2.6683851464633626	3.128152684284147	0.11489910907783539	0.044791519895575595	0.08460066066421891	0.018491143891930406	1.3468028869611923	0.033593744988249734	-5124.105953898454	-922.3574719519911	-192.87060056833556
120000	-6235.781648792742	-1121.8940555874813	-5113.887593205261	15.946508997979198	-3.9465089979791976	2.8264115178757363	4.264307980447888	0.11562801227275545	0.055544500623763655	0.11431341228246175	0.02001799790275396	1.5451772041178877	0.17138014115471184	-5113.887593205261	-922.3574719519911	-197.1596141995802
130000	-6264.889425555434	-1135.7715804826394	-5129.117845072795	16.81443563496592	-4.814435634965921	4.156012007858199	3.0427938956970575	0.11195626288388734	0.038911219181507466	0.05369349690008073	0.01749331578178453	1.3741156240614476	0.028343820320402873	-5129.117845072795	-922.3574719519911	-212.0893248246201
