# BEAST v1.10.0 Prerelease #VEME2017
# Generated Mon Jul 09 20:41:04 UTC 2018 [seed=666]
# -beagle_scaling always -overwrite -threads 4 -beagle_SSE -beagle_instances 2 -seed 666 -errors 1000 P01S2_RC_Const.Rep5.xml
# keywords: discretized_branch_rates
state	posterior	prior	likelihood	treeModel.rootHeight	age(root)	constant.popSize	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-12665.830445434898	-1048.5314871678206	-11617.298958267078	13.012374690991464	-1.0123746909914644	1.0	2.0	0.5	1.0	0.3333333333333333	1.0228630960857947	0.3485108131242069	-0.0491381985882242	-11617.298958267078	-922.3574719519911	-99.31654407782749
10000	-7176.605471526644	-1126.5506383876468	-6050.054833138996	13.999195437017649	-1.999195437017649	3.2631425075511635	3.8292485817363655	0.1169820441918579	0.16371216406812922	0.4930882142259262	0.05511061432200396	2.262432224755593	0.011025710357893553	-6050.054833138996	-922.3574719519911	-196.00789942081383
20000	-6812.842563498865	-1140.2793109504055	-5672.56325254846	13.756508032525526	-1.7565080325255256	3.8981660762034553	3.903081993345646	0.113364866916436	0.10876574817699407	0.3435308427743482	0.041941148152191104	2.416309249273472	-0.06344280029540729	-5672.56325254846	-922.3574719519911	-212.18879835560196
30000	-6455.146039890966	-1124.611755843547	-5330.534284047419	15.011369553815191	-3.0113695538151912	3.781434880905331	3.28378489321301	0.11413880386939984	0.04937512373363584	0.06979504814962084	0.02518497572472876	1.1497584610831115	0.04150359391641517	-5330.534284047419	-922.3574719519911	-200.52000789878792
40000	-6403.285899650767	-1133.6035517138464	-5269.68234793692	14.990812544401848	-2.990812544401848	4.194500024249829	3.726489251610789	0.11129695698191291	0.04627983711848065	0.08049940099490967	0.0243467953806663	1.1833496225882163	0.07599411665609745	-5269.68234793692	-922.3574719519911	-209.33855318415334
50000	-6374.820897573797	-1142.5856838600585	-5232.235213713739	15.00330336333457	-3.0033033633345703	3.7609276381641648	4.0689949116599085	0.10825817143788324	0.03811790592942858	0.06916109490935951	0.021211912803531085	1.1983458209572884	-0.026158279407452384	-5232.235213713739	-922.3574719519911	-218.74288853929093
60000	-6365.717871679642	-1142.349724658203	-5223.368147021439	15.115247364004153	-3.115247364004153	3.5395691820282256	3.832407901550635	0.13606386964669787	0.04272129873058164	0.09206811415953409	0.024266264269327837	1.3021919877137953	0.01740359504026524	-5223.368147021439	-922.3574719519911	-218.19402612265452
70000	-6352.41167742208	-1149.3464645568079	-5203.065212865272	18.620162403500423	-6.620162403500423	5.040426834413558	3.703838068739519	0.11172616284494126	0.03602165696061896	0.0918526885825247	0.016654767582045524	1.3640023153121954	0.01971487569921794	-5203.065212865272	-922.3574719519911	-225.03327971577542
80000	-6386.2868840147	-1164.1252711036236	-5222.161612911076	20.613110154965227	-8.613110154965227	4.839564785586646	3.5041434658192525	0.11204799811585367	0.0270853745040259	0.05302527393856562	0.013865695375791926	1.2698909100192566	0.006878060410923814	-5222.161612911076	-922.3574719519911	-240.49007206083124
90000	-6385.342434085549	-1169.9766909285568	-5215.365743156993	15.257880501151066	-3.2578805011510656	4.580788060708974	3.2828216650123103	0.11627412185501979	0.030222907916608262	0.04744596259032612	0.016903280374068876	1.1023411691826768	0.02377888369258394	-5215.365743156993	-922.3574719519911	-246.48869847662905
