# BEAST v1.10.0 Prerelease #VEME2017
# Generated Mon Jul 09 20:41:03 UTC 2018 [seed=666]
# -beagle_scaling always -overwrite -threads 4 -beagle_SSE -beagle_instances 2 -seed 666 -errors 1000 P01S2_RC_Const.Rep2.xml
# keywords: discretized_branch_rates
state	posterior	prior	likelihood	treeModel.rootHeight	age(root)	constant.popSize	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-12456.271046872884	-1048.5314871678206	-11407.739559705064	13.012374690991464	-1.0123746909914644	1.0	2.0	0.5	1.0	0.3333333333333333	1.0228630960857947	0.3485108131242069	-0.0491381985882242	-11407.739559705064	-922.3574719519911	-99.31654407782749
10000	-7568.695252576015	-1159.4613450884062	-6409.233907487609	13.153399804052377	-1.153399804052377	5.476846199414759	3.865977941032475	0.10960084426803304	0.17062321817879644	0.5594592372229685	0.0571323765704485	2.475212533039382	-0.01437478727633241	-6409.233907487609	-922.3574719519911	-225.15588783094287
20000	-6956.892945956444	-1145.4721398273114	-5811.420806129133	13.285802830903492	-1.2858028309034921	4.114165013759568	3.4446830974118416	0.11020110223089133	0.11209185865312876	0.3032455556810793	0.040085639140262745	2.093889468637867	0.18229213320089563	-5811.420806129133	-922.3574719519911	-216.31757646449927
30000	-6601.540081355923	-1129.4698056908644	-5472.070275665058	13.280435276448653	-1.280435276448653	3.7013091218020326	3.4194173128905216	0.13030348631037714	0.0940000872994362	0.30640071569901783	0.027614453872799337	2.1760049250816524	0.05114366842066492	-5472.070275665058	-922.3574719519911	-201.41054471950252
40000	-6523.060869710713	-1132.307817638856	-5390.7530520718565	13.538358149762828	-1.5383581497628285	4.084536244253491	3.8662911258814034	0.1307600174548951	0.10718937876963772	0.4057952355308409	0.030370942859326067	2.3865796711390934	0.06828430714196565	-5390.7530520718565	-922.3574719519911	-202.98142499377707
50000	-6526.9531898923005	-1126.5617454195517	-5400.391444472749	14.526948125356032	-2.526948125356032	2.745636215755478	3.636236362304194	0.12202464047975485	0.09915439278760489	0.3350444792947087	0.02630157587378392	2.2252007592475427	0.06556201067573914	-5400.391444472749	-922.3574719519911	-198.29674907210847
60000	-6515.660184917083	-1126.3793346248592	-5389.2808502922235	14.752347103900144	-2.752347103900144	3.3094987362095063	3.3980985274233255	0.12991846237099464	0.1184917628024237	0.5890824236916956	0.02541871413176244	2.711636468397085	0.05827989479788464	-5389.2808502922235	-922.3574719519911	-195.9489665317946
70000	-6529.079793809371	-1129.5673835775028	-5399.512410231869	15.696837246716399	-3.696837246716399	3.3322073348809296	4.044681464341779	0.1246391966026293	0.0917591223315442	0.2874789796904764	0.024790780651297983	2.1254329504828404	0.06655666536058892	-5399.512410231869	-922.3574719519911	-201.3653908496117
80000	-6527.630971538431	-1131.0796670862364	-5396.551304452195	15.50447599336945	-3.50447599336945	3.9564567755555413	3.7876120327062046	0.11487698561021717	0.08203903332417087	0.2613060689376107	0.02064906640454996	2.2403996196232194	0.038599496167743226	-5396.551304452195	-922.3574719519911	-203.39306374444047
90000	-6504.81212011018	-1132.5394157082721	-5372.272704401908	14.694467686022987	-2.6944676860229873	2.7512242014801394	3.6339492125871105	0.12027698098574431	0.12519086109872213	0.44512903067035925	0.025351984399512816	1.736755430885124	0.0959008548333401	-5372.272704401908	-922.3574719519911	-202.01201865589906
100000	-6516.685983297929	-1131.7118568301455	-5384.974126467783	15.435924832245082	-3.4359248322450817	3.0770930816938753	3.939955563606399	0.1347258258118705	0.1252192748391093	0.4583716708709395	0.021818932789136512	1.7994504849849935	0.09465159680617544	-5384.974126467783	-922.3574719519911	-200.71188579615665
110000	-6470.7000794570395	-1128.3356839258884	-5342.364395531151	14.090056439156461	-2.090056439156461	3.274026279840571	3.8797842467047894	0.12514309189865766	0.11207855795259142	0.3895786900381875	0.02522161210475494	1.6753534153177003	0.06644314867261189	-5342.364395531151	-922.3574719519911	-199.06228707990414
120000	-6393.3934024944065	-1108.457527445223	-5284.935875049184	13.776744329394715	-1.776744329394715	2.8893859731715925	3.4736843867243863	0.12511264434441263	0.10309639948092574	0.29206222347132843	0.024267934945298462	1.5523288021912545	0.06434037000541727	-5284.935875049184	-922.3574719519911	-180.61392215288498
130000	-6330.000115429707	-1116.0632476836709	-5213.936867746036	13.298175698088123	-1.298175698088123	3.506418815146359	2.985267494355253	0.10712996475956353	0.061579559821296	0.1415855709408403	0.020329204552241208	1.0883261142460787	0.08095799645631638	-5213.936867746036	-922.3574719519911	-190.99074314250598
140000	-6313.067251511565	-1130.168027198774	-5182.8992243127905	14.091842486830005	-2.0918424868300054	2.6379604552575415	3.456257970928594	0.11672324006754099	0.06734390227699631	0.12959938423102405	0.019688014937204155	1.2935198858219041	0.04290985992555324	-5182.8992243127905	-922.3574719519911	-204.63629124604464
150000	-6226.080460506051	-1130.3963016186572	-5095.684158887394	14.010831619882557	-2.0108316198825573	4.187763518936353	3.6423424906891397	0.1225800961592289	0.06189115421539094	0.1367742118877614	0.020773945159616402	1.446829059169435	-9.370513825625999E-4	-5095.684158887394	-922.3574719519911	-205.0181403422626
160000	-6229.960952540237	-1115.4067751902603	-5114.554177349976	13.799873196341842	-1.7998731963418422	3.3704017001821485	3.752557713278437	0.12871723804370727	0.04664725780597595	0.08793346629079722	0.0195542689085459	1.1964916472993576	0.06764826377937042	-5114.554177349976	-922.3574719519911	-191.4031336802751
170000	-6228.865581526395	-1113.5481386266795	-5115.317442899715	13.897666455476488	-1.8976664554764877	3.5371912208155574	3.4133597859785514	0.11297435137030544	0.04907633917729341	0.07943409755428005	0.021251035105127842	1.1514460276912246	0.19043394629468655	-5115.317442899715	-922.3574719519911	-189.5809521377659
180000	-6245.965080237994	-1119.2951522518151	-5126.669927986179	13.659041123577238	-1.6590411235772375	2.923125367931934	3.3668980775370043	0.1269721108889472	0.055137602807143145	0.08261885336211701	0.025353059931185612	1.1180823900519343	-0.02057613321028789	-5126.669927986179	-922.3574719519911	-195.18130378458295
190000	-6244.47442920552	-1124.1736167639733	-5120.300812441547	13.406184759393351	-1.4061847593933514	3.380851968793642	3.2103640859002	0.13132900972155193	0.04233669277277487	0.05620354688703708	0.02134309452407857	1.0524633850980472	0.09982834845048139	-5120.300812441547	-922.3574719519911	-200.68696257292464
200000	-6240.98465385994	-1119.5847668105414	-5121.399887049399	13.135956560866537	-1.1359565608665374	3.250821775611045	2.9187225532148107	0.09993697133789747	0.043650861036621684	0.06138500147364529	0.021765178275140958	1.0696477126049209	0.02243497218757075	-5121.399887049399	-922.3574719519911	-196.29757899670955
210000	-6240.102388166614	-1126.5367466107684	-5113.565641555846	13.061226526246354	-1.0612265262463545	3.4956393122847405	2.6052507887031537	0.11318141023686167	0.03977778994053166	0.0547576327407144	0.019669378236604005	1.156036026824526	0.04422296649747901	-5113.565641555846	-922.3574719519911	-203.42390669985758
220000	-6242.383537452732	-1128.9272719557089	-5113.456265497022	13.26463823324009	-1.26463823324009	3.7463015298480338	3.337410994745417	0.1195328868756215	0.0359950808876647	0.05125246418736729	0.020293583689984365	1.0983311381034921	-0.006263878146671833	-5113.456265497022	-922.3574719519911	-205.65969440205978
230000	-6246.990866088141	-1123.1323308999977	-5123.858535188144	13.111198443375397	-1.1111984433753967	3.329913350858707	3.360772580557539	0.10731710762924583	0.0355900897628384	0.057363214633068635	0.019318726918075096	1.0349936517598979	0.13149333640684274	-5123.858535188144	-922.3574719519911	-200.04109008206495
