calibr,mean,median,lowerHPD,HigherHPD,
1,0,0.000520766,0.000514057,0.00032001,0.000727148
2,1,8.71E-05,8.35E-05,9.05E-06,0.000167989
3,2,8.36E-05,8.06E-05,7.69E-06,0.000161766
4,3,3.32E-05,2.81E-05,1.80E-07,8.18E-05
5,4,3.69E-05,3.17E-05,5.65E-07,8.82E-05
