# BEAST v1.10.0 Prerelease #VEME2017
# Generated Mon Jul 09 20:41:04 UTC 2018 [seed=666]
# -beagle_scaling always -overwrite -threads 4 -beagle_SSE -beagle_instances 2 -seed 666 -errors 1000 P01S3_RC_Const.Rep2.xml
# keywords: discretized_branch_rates
state	posterior	prior	likelihood	treeModel.rootHeight	age(root)	constant.popSize	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-11981.158304430784	-1048.5314871678206	-10932.626817262964	13.012374690991464	-1.0123746909914644	1.0	2.0	0.5	1.0	0.3333333333333333	1.0228630960857947	0.3485108131242069	-0.0491381985882242	-10932.626817262964	-922.3574719519911	-99.31654407782749
10000	-7017.382766981523	-1120.0869038433068	-5897.295863138216	13.349649323031322	-1.349649323031322	3.3399622659794486	4.166768801296494	0.11309072403988842	0.15920426647667274	0.31196060229334266	0.07556529588405009	1.6642213199182685	-0.06307520656922243	-5897.295863138216	-922.3574719519911	-190.87953418088944
20000	-6551.057023628915	-1119.561132039591	-5431.495891589324	14.0389746475286	-2.0389746475285992	3.5795231307638478	3.6853433494467085	0.09883263933209668	0.09761721695646344	0.2025735610589735	0.04412455886033513	1.2298268643869372	0.08340626062667282	-5431.495891589324	-922.3574719519911	-192.80978615830182
30000	-6331.79249918606	-1119.1406151147955	-5212.651884071264	14.264957201312768	-2.264957201312768	2.8874784056941607	3.540088354168257	0.10224471231914613	0.0751758127721625	0.19964204215266104	0.0283212172921297	1.1787768662186033	0.0104082727560474	-5212.651884071264	-922.3574719519911	-192.8638264623973
40000	-6238.7936455198715	-1132.803442385505	-5105.990203134366	15.21561150498891	-3.2156115049889102	4.005606213000172	3.9292029343610126	0.10972658865169127	0.08584127702843965	0.27735044462088215	0.027081508252546127	1.4091456337761663	0.041068972809198835	-5105.990203134366	-922.3574719519911	-204.82203647639875
50000	-6249.269560990356	-1140.6593562205019	-5108.610204769854	13.23869451738826	-1.2386945173882609	3.949787031853287	3.551265541396811	0.11019534095027603	0.0734456368693004	0.1970958024847648	0.025318132544604327	1.3197418933697347	0.011375573948062583	-5108.610204769854	-922.3574719519911	-213.97228832419876
60000	-6203.547023877811	-1154.6888070623927	-5048.858216815418	13.089137012042949	-1.0891370120429489	4.881847465374677	3.6211309896331314	0.12846479099270827	0.07929956044554923	0.20619011842466828	0.02393041677679839	1.3863425277643975	-0.038926757602670704	-5048.858216815418	-922.3574719519911	-227.17646132847028
70000	-6142.303955109287	-1155.2745395336995	-4987.029415575587	13.679294764147421	-1.6792947641474214	5.175200096095956	3.6018164242942032	0.10859771459702036	0.04462468950097344	0.11027081905356614	0.01703812009711134	1.2912053714851612	0.08706654211906789	-4987.029415575587	-922.3574719519911	-230.23796559608525
80000	-6114.230888934735	-1196.3865777281949	-4917.844311206541	14.012661881580526	-2.0126618815805255	7.853626970614337	4.050041487505126	0.11584486145948188	0.03893919032336677	0.1196551856033851	0.011315706129554702	1.2171643448327594	0.04248678592790124	-4917.844311206541	-922.3574719519911	-270.0269356643529
90000	-6058.735668109083	-1196.692792422794	-4862.042875686289	13.924873152280647	-1.9248731522806466	6.568203744566159	3.8184472246544394	0.1150611178361974	0.03595149194489739	0.13320887009050927	0.010195647218033378	1.697199941569557	0.02734482806167428	-4862.042875686289	-922.3574719519911	-270.90635729898906
