# BEAST v1.10.0 Prerelease #VEME2017
# Generated Mon Jul 09 20:41:04 UTC 2018 [seed=666]
# -beagle_scaling always -overwrite -threads 4 -beagle_SSE -beagle_instances 2 -seed 666 -errors 1000 P01S3_RC_Const.Rep5.xml
# keywords: discretized_branch_rates
state	posterior	prior	likelihood	treeModel.rootHeight	age(root)	constant.popSize	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-12391.788542471668	-1048.5314871678206	-11343.257055303848	13.012374690991464	-1.0123746909914644	1.0	2.0	0.5	1.0	0.3333333333333333	1.0228630960857947	0.3485108131242069	-0.0491381985882242	-11343.257055303848	-922.3574719519911	-99.31654407782749
10000	-7383.782931424924	-1094.189820282627	-6289.593111142297	13.184312743096369	-1.1843127430963687	2.660289036451244	4.031685821770938	0.10216747399888298	0.230196513431537	0.5438099584798658	0.08922417155181432	1.7252311999639642	0.02740525885016698	-6289.593111142297	-922.3574719519911	-162.62201741802383
20000	-6877.327299936625	-1077.886770109862	-5799.440529826763	13.48022354865247	-1.4802235486524697	2.1897401693671052	3.894641073684279	0.10712453306064361	0.23041682360566448	0.6925965252108619	0.0754940500097985	1.9052946507973922	0.022314946898517096	-5799.440529826763	-922.3574719519911	-146.5134855546629
30000	-6560.263739071001	-1094.283863301322	-5465.979875769678	14.714947278364296	-2.7149472783642956	2.4104720935195116	4.6312650322762625	0.10148037432632741	0.15285414347782078	0.364330232436724	0.0459080003238303	1.6882925706305616	0.0077721049615641705	-5465.979875769678	-922.3574719519911	-165.41488387785125
40000	-6520.0637062196065	-1096.6043861423595	-5423.459320077247	13.655874288136252	-1.6558742881362516	2.631691719935206	3.693026442188737	0.10574678047502295	0.11862111283048762	0.28311286652714585	0.04382835435145915	1.5064652806744285	0.03602441335167637	-5423.459320077247	-922.3574719519911	-169.4465431629031
50000	-6526.687958346606	-1108.6336710701169	-5418.054287276489	13.519272110348268	-1.5192721103482683	3.082018718685741	3.4753403431450405	0.10942875152333803	0.0982088677838083	0.266023104605532	0.03983911743434922	1.5471523524081114	-0.00561240827607041	-5418.054287276489	-922.3574719519911	-182.07795339451448
60000	-6489.895827918079	-1105.0100200277693	-5384.8858078903095	13.859441454822887	-1.8594414548228873	2.3727835536096946	3.447401216287932	0.11029891083885023	0.09135728442235289	0.20313861474164624	0.040369755792200736	1.3649290484955163	0.04785615155421607	-5384.8858078903095	-922.3574719519911	-179.20666083327484
70000	-6328.90725961276	-1076.9457751660602	-5251.9614844467	13.716001475719242	-1.716001475719242	1.9200421336250573	4.406971855194134	0.09968976999716611	0.09700360004175476	0.1912169587832206	0.03992335374359509	1.2267693382761014	-0.05631010443063062	-5251.9614844467	-922.3574719519911	-151.36939940235595
80000	-6128.136950659738	-1092.592281629176	-5035.5446690305625	14.135637960359045	-2.1356379603590447	2.379611422360215	3.768484616495872	0.11754377066535561	0.06683417356333438	0.13167399584789283	0.031210492986856225	1.4614133629207018	-0.02659630186335628	-5035.5446690305625	-922.3574719519911	-168.12486481885128
90000	-6103.957109991863	-1091.0967461795337	-5012.8603638123295	14.09085024332096	-2.0908502433209595	2.554747030779712	3.60880576551893	0.09922610168567414	0.06003578268285993	0.1157544778810122	0.024413549914029928	1.4175723336524573	-0.006557425196417362	-5012.8603638123295	-922.3574719519911	-166.93494799885812
100000	-6079.80988246368	-1103.9217929109311	-4975.888089552749	17.852600671244986	-5.852600671244986	2.9012262093643177	3.8974319558019763	0.12000885571577567	0.04648064635957035	0.08255093950009955	0.020164756136280854	1.2048668938796123	0.08160237278508067	-4975.888089552749	-922.3574719519911	-179.9077889378388
110000	-6105.7147579499015	-1120.258270059538	-4985.456487890363	16.850606649054942	-4.850606649054942	3.473018593776546	3.226718498231449	0.09657242014715037	0.05603984728077016	0.09038470110021785	0.019884971446447908	1.3901552623364106	0.08434431971486955	-4985.456487890363	-922.3574719519911	-195.57319592593902
120000	-6087.416119358642	-1113.4459572866576	-4973.970162071984	14.34771923482223	-2.3477192348222307	3.0685123785326716	3.449153660049142	0.08371877590247952	0.05103510611232732	0.07128307690930405	0.022371492764630935	1.1733332108634562	0.15670453464237968	-4973.970162071984	-922.3574719519911	-189.6244811666623
130000	-6093.01815758644	-1127.7779500458903	-4965.24020754055	13.98470154642669	-1.98470154642669	3.8250596897535005	4.240623339234198	0.10953325963631899	0.04796925910705631	0.07310982035315117	0.020253380986312956	1.4786413095130877	0.11957976951959444	-4965.24020754055	-922.3574719519911	-203.43239653392823
140000	-6102.278440432134	-1138.987002430086	-4963.2914380020475	14.708190685751946	-2.708190685751946	3.6477685271663964	3.7509027497977536	0.09175817834414102	0.03351408890456572	0.04379468866545049	0.01586610305217538	1.2964436588683423	0.05302556418583612	-4963.2914380020475	-922.3574719519911	-215.601619702644
150000	-6098.269925881596	-1150.4393150871754	-4947.83061079442	17.184581849841045	-5.184581849841045	4.723025299301551	3.6215291645250485	0.11090755475351664	0.028353610950981843	0.031528332799647264	0.01657931482467155	1.0474206652722722	0.1260671846746138	-4947.83061079442	-922.3574719519911	-227.07083195015932
160000	-6119.704530305169	-1152.874995123149	-4966.829535182021	18.387314639066904	-6.387314639066904	3.9123908850167908	4.287597803939224	0.10219028979351587	0.027304388591829546	0.03814257057360851	0.014606077282424464	1.275329082097589	-0.0015428917577401204	-4966.829535182021	-922.3574719519911	-229.51784880535348
170000	-6122.636204741829	-1166.813969401034	-4955.822235340795	17.866191215705776	-5.866191215705776	6.672102056393618	3.7624210003853187	0.08269424208523354	0.02094521971286044	0.026519533712739508	0.011033457305893928	1.1878177322679784	0.11254556380968671	-4955.822235340795	-922.3574719519911	-243.5274911544014
180000	-6143.597542788983	-1195.8590577780933	-4947.73848501089	18.069382833121153	-6.0693828331211535	7.719613334651918	4.5811211588727945	0.11417249038714453	0.03166782964758345	0.06892501379050779	0.011959174304663952	1.7489418403918948	0.09625762196455936	-4947.73848501089	-922.3574719519911	-270.4734488785878
190000	-6020.471136760277	-1204.830709570164	-4815.640427190113	16.47398094987893	-4.4739809498789285	9.090953532170413	3.8793394356413735	0.10414274321054863	0.022519715027198847	0.0583875002623577	0.008072181232818902	1.4726540691624326	0.13834084925921186	-4815.640427190113	-922.3574719519911	-280.428665941782
200000	-5999.748031314852	-1211.95675650381	-4787.791274811042	16.55613268175743	-4.556132681757429	9.887927057319718	3.680690440527522	0.11603067786813036	0.019457411220495442	0.03416632324332433	0.00866969472098981	1.0094495124926526	0.03309821017146194	-4787.791274811042	-922.3574719519911	-287.87514764083676
