# BEAST v1.10.0 Prerelease #VEME2017
# Generated Mon Jul 09 20:37:10 UTC 2018 [seed=666]
# -beagle_scaling always -overwrite -threads 4 -beagle_SSE -beagle_instances 2 -seed 666 -errors 1000 P01S1_RC_Const.Rep5.xml
# keywords: discretized_branch_rates
state	posterior	prior	likelihood	treeModel.rootHeight	age(root)	constant.popSize	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-12726.662994740704	-1048.5314871678206	-11678.131507572883	13.012374690991464	-1.0123746909914644	1.0	2.0	0.5	1.0	0.3333333333333333	1.0228630960857947	0.3485108131242069	-0.0491381985882242	-11678.131507572883	-922.3574719519911	-99.31654407782749
10000	-7459.870927365695	-1137.35964660302	-6322.511280762675	13.61222731092019	-1.61222731092019	3.698839973202276	3.5836797838134573	0.11716543932583241	0.15570287655254736	0.31432384229341065	0.07779314522696333	1.6632084059919856	0.10689484664382856	-6322.511280762675	-922.3574719519911	-207.48727121650242
20000	-6887.522639609625	-1128.2161887949178	-5759.306450814707	13.386153788572404	-1.386153788572404	3.234891951033887	3.44202433931298	0.11930541040237282	0.10647532068524986	0.2025493327273919	0.054842967359269315	1.8883504738415147	0.044101026725472885	-5759.306450814707	-922.3574719519911	-201.3980829441474
30000	-6388.879236772732	-1114.4077528892385	-5274.471483883493	13.813070441492227	-1.8130704414922274	3.169654139364872	3.7851268905952833	0.124530266563185	0.06290037293874169	0.10163138688882202	0.0357982062024976	1.4770766247057854	-0.005998900548418048	-5274.471483883493	-922.3574719519911	-189.89176147057847
40000	-6289.277730587513	-1107.3648881383294	-5181.912842449184	13.891138736722962	-1.8911387367229615	2.9607088834779383	3.8452167582228616	0.1282238645235572	0.06849276990862516	0.11595205577113006	0.033163621866969625	1.577478821470817	-0.05128213765199934	-5181.912842449184	-922.3574719519911	-182.6539983109935
50000	-6247.417923274299	-1108.6305602050759	-5138.787363069223	13.413375994628279	-1.4133759946282787	2.927936164248966	3.687150648179974	0.1237998718533293	0.0629586614503509	0.09959432161224617	0.03370879330643541	1.525049322011011	-0.017072989974887067	-5138.787363069223	-922.3574719519911	-184.28908060239834
60000	-6220.934027667996	-1115.5414193011038	-5105.392608366892	13.89472194363491	-1.8947219436349094	2.8474393956316018	3.2742038646699103	0.11116335110260012	0.056293614982808125	0.10067894639040646	0.02840715888231724	1.6454444250573157	0.013407291573522091	-5105.392608366892	-922.3574719519911	-191.52992481110928
70000	-6205.832397703495	-1126.5963854970876	-5079.236012206407	14.426449723546042	-2.4264497235460425	3.818424454290006	3.435897109816714	0.131470894373673	0.043989471410380857	0.054327530394837384	0.0230819617281426	1.2648945009436154	-0.004256873255551063	-5079.236012206407	-922.3574719519911	-202.9046632255889
80000	-6204.503396918917	-1127.4660419367406	-5077.037354982177	14.28490479191486	-2.28490479191486	4.092391850079953	3.4663838739757318	0.11579100697439233	0.044998102927960415	0.06725845193513141	0.023883416810873373	1.5404386328476851	-0.032028654426497896	-5077.037354982177	-922.3574719519911	-203.48366164471432
90000	-6232.326339526387	-1139.363526192078	-5092.9628133343085	14.74448519894135	-2.7444851989413497	3.213110718191748	3.210103705431314	0.1179845103715905	0.03902738649247041	0.05868521658830989	0.023207531377350897	1.5046625986060858	-0.0077650504605824115	-5092.9628133343085	-922.3574719519911	-216.01323124971054
100000	-6211.906518845965	-1141.123580922248	-5070.782937923717	14.678650277243861	-2.678650277243861	4.476734871601451	3.625613103371494	0.12250102523308777	0.03458392254505124	0.04964949518539369	0.019366778666564943	1.3757975181012168	-0.019012929993259292	-5070.782937923717	-922.3574719519911	-217.49207108636338
