# BEAST v1.10.0 Prerelease #VEME2017
# Generated Mon Jul 09 20:37:10 UTC 2018 [seed=666]
# -beagle_scaling always -overwrite -threads 4 -beagle_SSE -beagle_instances 2 -seed 666 -errors 1000 P01S1_RC_Const.Rep3.xml
# keywords: discretized_branch_rates
state	posterior	prior	likelihood	treeModel.rootHeight	age(root)	constant.popSize	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-12492.010734932317	-1048.5314871678206	-11443.479247764497	13.012374690991464	-1.0123746909914644	1.0	2.0	0.5	1.0	0.3333333333333333	1.0228630960857947	0.3485108131242069	-0.0491381985882242	-11443.479247764497	-922.3574719519911	-99.31654407782749
10000	-7123.257989964446	-1142.6306375210147	-5980.627352443431	14.160966277689672	-2.1609662776896723	3.7970976135379173	4.021089115106247	0.12103849579435219	0.09715696629218135	0.19676801323432816	0.05257686300441967	1.8146854873040341	0.09886679918983395	-5980.627352443431	-922.3574719519911	-215.34331009612387
20000	-6696.795137075393	-1132.969566746636	-5563.825570328757	15.87120166175208	-3.87120166175208	3.9947447515509173	3.512864988032926	0.11070464139709847	0.0627105669696624	0.11166120258903793	0.032483812620174114	1.4626413299501284	0.07244568644921102	-5563.825570328757	-922.3574719519911	-207.7414948454536
30000	-6524.560920572918	-1124.6053729564612	-5399.955547616457	14.36240570030952	-2.3624057003095196	3.3100644632979916	3.9452933195749824	0.12349864893944813	0.08449772564706615	0.15158007604865842	0.038914994844472334	1.5580162025494906	0.10061146316122513	-5399.955547616457	-922.3574719519911	-198.40851709679487
40000	-6314.630209125095	-1136.683575795843	-5177.946633329252	14.9283939322688	-2.9283939322688006	4.294104156477222	3.904971674196043	0.12767724557236887	0.07980592189321532	0.2787404524978891	0.020254847590117586	1.8717993628640697	-0.021941477039831854	-5177.946633329252	-922.3574719519911	-208.80244567402607
50000	-6311.622288878357	-1142.1170678595045	-5169.505221018852	15.754525089137143	-3.754525089137143	3.926375001292366	3.0675713740990105	0.1220016859327316	0.08432723991880141	0.2787917192679336	0.021973584862093172	1.7418613501257816	-0.0822590386212108	-5169.505221018852	-922.3574719519911	-214.18078117653164
60000	-6317.201858321129	-1144.5771362146434	-5172.624722106486	14.821248685606685	-2.821248685606685	3.8125763215563757	3.4724933344966917	0.11189080311811658	0.06505609854894501	0.19439570254215427	0.022450244772016795	1.5736247738488298	-0.04803779395222555	-5172.624722106486	-922.3574719519911	-218.27937097061204
70000	-6240.8670680648265	-1171.9429999427834	-5068.924068122043	17.054515740444376	-5.054515740444376	7.655260034665716	3.633327799554996	0.12762207922208552	0.04791769547194173	0.11409405104259888	0.016327229670444407	1.5268156332255345	0.0243477661723786	-5068.924068122043	-922.3574719519911	-245.74545731907702
80000	-6260.52977220621	-1185.3468793576494	-5075.18289284856	19.463352075481804	-7.463352075481804	7.387556295924566	3.672366565199508	0.10472583663232751	0.026055518658228305	0.050690409163313965	0.01136268219532881	1.3738913357448632	0.041654607629313	-5075.18289284856	-922.3574719519911	-261.076985889665
90000	-6270.270259335622	-1197.0993076132809	-5073.170951722341	19.121412059785996	-7.121412059785996	7.525080336674267	4.013839564896352	0.11505183852603115	0.02104758967494795	0.04430443301400886	0.009772418288373849	1.4119017160558973	-0.029256240918224794	-5073.170951722341	-922.3574719519911	-273.0527088617822
