calibr,mean,median,lowerHPD,HigherHPD,
1,0,0.000431651,0.000420663,0.000238462,0.000627054
2,1,6.51E-05,6.26E-05,7.48E-06,0.000119538
3,2,6.51E-05,6.20E-05,4.96E-06,0.000128322
4,3,3.33E-05,2.87E-05,1.13E-07,7.94E-05
5,4,4.65E-05,3.92E-05,1.95E-08,0.000113638
