# BEAST v1.10.0 Prerelease #VEME2017
# Generated Mon Jul 09 20:37:10 UTC 2018 [seed=666]
# -beagle_scaling always -overwrite -threads 4 -beagle_SSE -beagle_instances 2 -seed 666 -errors 1000 P01S1_RC_Const.Rep1.xml
# keywords: discretized_branch_rates
state	posterior	prior	likelihood	treeModel.rootHeight	age(root)	constant.popSize	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-12597.22371786956	-1048.5314871678206	-11548.69223070174	13.012374690991464	-1.0123746909914644	1.0	2.0	0.5	1.0	0.3333333333333333	1.0228630960857947	0.3485108131242069	-0.0491381985882242	-11548.69223070174	-922.3574719519911	-99.31654407782749
10000	-7608.230268912554	-1131.4366964384512	-6476.793572474102	13.340750484546328	-1.3407504845463283	2.9545194648315505	3.9069906548321085	0.10662918271453804	0.2672108276636526	0.8068749305996202	0.08113597600735535	2.4640294942808834	-0.04811652560291502	-6476.793572474102	-922.3574719519911	-194.01776872954022
20000	-6873.444937757143	-1107.053860022228	-5766.391077734915	12.927530382108397	-0.9275303821083973	2.627492062667904	3.5000006697485926	0.11489835815014104	0.20608607859384515	0.6177602229359981	0.057348904710321266	2.3873559059686356	-0.03834655353659315	-5766.391077734915	-922.3574719519911	-173.82414067628793
30000	-6511.845475139542	-1138.7310048093943	-5373.114470330148	16.23145222712474	-4.231452227124741	3.621876538685616	3.3630007520913394	0.11852352471565851	0.1203969227891581	0.4683510674505799	0.022941399511828844	1.9310415555021414	-0.09771970181997505	-5373.114470330148	-922.3574719519911	-206.9918507332508
40000	-6374.542976255955	-1142.9600505765147	-5231.58292567944	16.983071646616388	-4.983071646616388	3.9699591811667743	4.043451186326364	0.13080511333458927	0.1380718218926207	0.6194902214419378	0.021708011646559708	2.1926645813349968	-0.023187646249778208	-5231.58292567944	-922.3574719519911	-208.67642589948383
50000	-6213.679505818918	-1161.720172274405	-5051.959333544513	16.470439875748077	-4.470439875748077	4.398044498580964	4.0472195907275905	0.11566172170153896	0.08875347387865175	0.45260973243978253	0.012141782944131242	2.360389620359243	0.07428601760604917	-5051.959333544513	-922.3574719519911	-230.56421791059924
60000	-6096.476903759185	-1158.348772672907	-4938.128131086278	15.363172428128495	-3.363172428128495	5.558200313430767	3.6947258597408426	0.127079801795617	0.08728999460076357	0.37648733999498674	0.012872452122525834	2.089377833810407	0.005581043519429919	-4938.128131086278	-922.3574719519911	-227.72926580562267
70000	-6108.870037740049	-1166.3272720526274	-4942.542765687422	16.24676970052558	-4.246769700525579	4.85953543888524	3.509399925637559	0.1240321364969236	0.06878153712861772	0.23768716880372695	0.011849527060717817	1.8908413770548727	-0.029531879833691165	-4942.542765687422	-922.3574719519911	-237.7418353305644
80000	-6086.824668517487	-1178.9383924953504	-4907.886276022137	15.765826583204406	-3.765826583204406	5.989639423523706	3.7085258498176774	0.13029113061790523	0.05652745116093742	0.20309609858198838	0.011297442586826838	1.961644675376645	-0.019369219881679018	-4907.886276022137	-922.3574719519911	-250.96792520257605
90000	-6108.023885476264	-1188.200683928655	-4919.823201547609	16.886606346447643	-4.886606346447643	7.2334154042481975	3.5133198011967965	0.13926725488912226	0.042381852416950964	0.15791715470573447	0.00918104651493976	1.8509713434014532	-0.07303006664885092	-4919.823201547609	-922.3574719519911	-261.45269735538176
